Link no,Name,S_LRP,S_Offset,S_Chainage,E_LRP,E_Offset,E_Chainage,Length (km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT)
N104-1,Feni (Trank Road)-Feni (Mohipal Chourasta) Int. with N1,LRPS,0,0,LRPS,1878,1.878,1.878,90.0,675.0,406.0,217.0,379.0,517.0,61.0,174.0,4683.0,597.0,258.0,1328.0,0.0,7799.0,1586.0,9385.0,9385.0
N104-2,Feni (Int. with N1)-Feni (Temohoni)Int.with Z1444,LRPS,1878,1.878,LRP004,270,4.35,2.472,90.0,675.0,406.0,217.0,379.0,517.0,61.0,174.0,4683.0,597.0,258.0,1328.0,0.0,7799.0,1586.0,9385.0,9385.0
N104-3,Feni (Temohoni)Int.with Z1444-Selonia (Int.with Z1443),LRP004,270,4.35,LRP008,485,8.315,3.965,90.0,675.0,406.0,217.0,379.0,517.0,61.0,174.0,4683.0,597.0,258.0,1328.0,0.0,7799.0,1586.0,9385.0,9385.0
N104-4,Selonia(Int.with Z1443)-Daganbhuiyan (Int.with Z1441),LRP008,485,8.315,LRP014,994,14.809,6.494,90.0,675.0,406.0,217.0,379.0,517.0,61.0,174.0,4683.0,597.0,258.0,1328.0,0.0,7799.0,1586.0,9385.0,9385.0
N104-5,Daganbhuiyan (Int.with Z1441)-Tulatali (Int.with Z1030),LRP014,994,14.809,LRP017,230,17.13,2.321,67.0,820.0,426.0,322.0,205.0,281.0,44.0,90.0,4147.0,768.0,332.0,1228.0,8.0,7170.0,1568.0,8738.0,8738.0
N104-6,Tulatali (Int.with Z1030)- Kallandi (Int.with Z1421),LRP017,230,17.13,LRP023,923,23.823,6.693,67.0,820.0,426.0,322.0,205.0,281.0,44.0,90.0,4147.0,768.0,332.0,1228.0,8.0,7170.0,1568.0,8738.0,8738.0
N104-7,Kallandi (Int.with Z1421)-  Chowmohoni (Int.with Z1420),LRP023,923,23.823,LRP032,2120,34.12,10.297,67.0,820.0,426.0,322.0,205.0,281.0,44.0,90.0,4147.0,768.0,332.0,1228.0,8.0,7170.0,1568.0,8738.0,8738.0
N104-8,Chowmohoni (Int.with Z1420)-Chowmohoni (Int.with R142 & R140),LRP032,2120,34.12,LRP032,4033,36.033,1.913,67.0,820.0,426.0,322.0,205.0,281.0,44.0,90.0,4147.0,768.0,332.0,1228.0,8.0,7170.0,1568.0,8738.0,8738.0
N104-9,Chowmohoni (Int.with R142 & R140)-Maijdee Bazar(Int.with R143),LRP032,4033,36.033,LRP042,1230,43.03,6.997,46.0,1263.0,625.0,975.0,565.0,755.0,147.0,357.0,3066.0,1066.0,270.0,447.0,0.0,8865.0,717.0,9582.0,9582.0
N104-10,Maijdee Bazar(Int.with R143)-Maijdee(Int.with Z1429),LRP042,1230,43.03,LRP044,1380,45.2,2.170,46.0,1263.0,625.0,975.0,565.0,755.0,147.0,357.0,3066.0,1066.0,270.0,447.0,0.0,8865.0,717.0,9582.0,9582.0
N104-11,Maijdee(Int.with Z1429)-Sonapur,LRP044,1380,45.2,LRPE,0,49.63,4.430,19.0,675.0,496.0,502.0,496.0,479.0,132.0,393.0,3681.0,1025.0,446.0,542.0,0.0,7898.0,988.0,8886.0,8886.0
